City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ashburton,-37.8626,145.0794,64.35,64,79,1.99,AU,1712894230
83,naracoorte,-36.9579,140.7383,61.59,49,71,9.17,AU,1712894231
84,laguna de perlas,12.3429,-83.6712,82.0,78,46,11.9,NI,1712894231
85,ilulissat,69.2167,-51.1,14.72,96,100,4.9,GL,1712894231
86,saudarkrokur,65.7461,-19.6394,31.73,95,100,9.4,IS,1712893986
87,al faw,29.9776,48.4741,66.2,39,0,9.35,IQ,1712894232
88,colonia,50.9333,6.95,57.85,85,75,6.91,DE,1712894233
89,palikir - national government center,6.9248,158.1611,81.34,89,100,4.61,FM,1712894235
90,taroa,8.7058,171.2275,81.61,81,100,17.56,MH,1712894235
91,edd,13.9297,41.6925,82.4,79,78,6.24,ER,1712894236
92,santo antonio,-6.3106,-35.4789,75.2,95,66,5.37,BR,1712894237
93,indramayu,-6.3264,108.32,86.95,66,89,2.8,ID,1712894238
94,blackmans bay,-43.0167,147.3167,66.33,76,93,6.89,AU,1712894048
95,puerto aysen,-45.4,-72.7,37.15,92,5,1.01,CL,1712894009
96,broome,42.2506,-75.833,63.9,94,100,18.41,US,1712894240
97,anadyr,64.75,177.4833,18.1,85,6,17.9,RU,1712894242
98,zaozersk,69.4005,32.4476,28.33,89,99,12.46,RU,1712894074
99,shenkursk,62.1091,42.896,38.57,84,100,10.6,RU,1712894243
100,polyarnyy,69.1989,33.4478,29.62,84,100,18.14,RU,1712894064
101,boda,4.3189,17.4695,74.34,78,72,2.93,CF,1712894049
102,luderitz,-26.6481,15.1594,73.15,39,0,7.29,NA,1712894246
103,kingston,17.997,-76.7936,83.35,74,20,17.27,JM,1712894246
104,xining,36.6167,101.7667,57.2,19,70,2.86,CN,1712894247
105,carnarvon,-24.8667,113.6333,79.59,47,0,7.16,AU,1712894060
106,port mathurin,-19.6833,63.4167,77.09,94,40,3.44,MU,1712894043
107,sorong,-0.8833,131.25,84.15,71,53,8.32,ID,1712894249
108,bereznik,62.8551,42.7072,37.76,87,100,10.25,RU,1712894250
109,santo antonio de padua,-21.5394,-42.1803,70.88,97,30,0.74,BR,1712894251
110,bethel,41.3712,-73.414,61.36,89,100,3.0,US,1712894252
111,whitehorse,60.7161,-135.0538,41.77,30,75,21.85,CA,1712894252
112,faaa,-17.55,-149.6,84.16,74,75,5.75,PF,1712894093
113,shenjiamen,29.9576,122.298,57.54,99,100,5.93,CN,1712894254
114,punta arenas,-53.15,-70.9167,46.51,76,40,21.85,CL,1712894053
115,ghadamis,30.1337,9.5007,56.21,78,100,20.36,LY,1712894255
116,ciudad sabinas hidalgo,26.5,-100.1667,70.88,27,74,7.92,MX,1712894256
117,pacasmayo,-7.4006,-79.5714,72.55,78,26,10.56,PE,1712894257
